candidate_id,candidate_name,handle,party,chamber,state,district,incumbent,n_tweets,share_retweets,mean_distance_to_field
C0001,Sterling Kowalczyk,@KowalczykHQ,D,House,AL,AL-01,False,35,0.2285714285714285,0.04054027090266323
C0002,Ingrid Lindqvist,@ILindqvist2022,R,House,AL,AL-01,True,201,0.4079601990049751,0.02353775855072613
C0003,Gideon Wexford,@GideonWexford2022,D,House,AL,AL-02,False,133,0.1654135338345864,0.021707942243823174
C0004,Colton Solberg,@SolbergHQ,R,House,AL,AL-02,False,118,0.4830508474576271,0.030898659537389784
C0005,Jocelyn Lockhart,@JLockhartOfficial,D,House,AL,AL-03,True,107,0.3738317757009345,0.023780331422661265
C0006,Jordan Umbridge,@UmbridgeHQ,R,House,AL,AL-03,False,81,0.1851851851851851,0.024935281290010103
C0007,Maeve Ibarra,@IbarraHQ,D,House,AL,AL-04,True,85,0.5411764705882353,0.03409267535549552
C0008,Vivienne Whitlock,@VWhitlockOfficial,R,House,AL,AL-04,False,74,0.2702702702702703,0.026160564053002197
C0009,Jocelyn Whitlock,@JocelynWhitlock2022,D,House,AL,AL-05,True,91,0.1648351648351648,0.025835250728362947
C0010,Junia Yancey,@YanceyHQ,R,House,AL,AL-05,False,64,0.296875,0.024483815327486395
C0011,Dexter Crowder,@CrowderForCongress,D,House,AL,AL-06,True,201,0.2985074626865671,0.023192828550262706
C0012,Grant Crowder,@CrowderHQ,R,House,AL,AL-06,False,103,0.5242718446601942,0.03737401048306118
C0013,Junia Sandoval,@SandovalForCongress,D,House,AL,AL-07,True,53,0.2452830188679245,0.03239080938495766
C0014,Colton Dunmore,@ColtonDunmore2022,R,House,AL,AL-07,False,145,0.2275862068965517,0.025159508203419088
C0015,Elena Kettering,@KetteringHQ,D,House,AK,AK-AL,True,184,0.5434782608695652,0.033792926429188345
C0016,Lorenzo Falkner,@Falkner4Congress,R,House,AK,AK-AL,False,47,0.425531914893617,0.036708004258318605
C0017,Kip Kowalczyk,@KipKowalczyk2022,D,House,AZ,AZ-01,True,210,0.5523809523809524,0.03473105940004489
C0018,Tamika Eastwood,@TEastwoodOfficial,R,House,AZ,AZ-01,False,32,0.25,0.031417954872598235
C0019,Grant Nakamura,@NakamuraHQ,D,House,AZ,AZ-02,True,43,0.4186046511627907,0.025975901068972584
C0020,Omar Lindqvist,@OLindqvistOfficial,R,House,AZ,AZ-02,False,169,0.2958579881656805,0.020924744576212736
C0021,Petra Ivester,@Ivester4Congress,I,House,AZ,AZ-02,False,185,0.4216216216216216,0.02184135907207541
C0022,Emmett Barrows,@EBarrows,D,House,AZ,AZ-03,False,52,0.3461538461538461,0.03462048756094754
C0023,Henrietta Prescott,@HenriettaPrescott2022,R,House,AZ,AZ-03,False,96,0.1145833333333333,0.025418391179591496
C0024,Ulysses Tunstall,@TunstallForCongress,D,House,AZ,AZ-04,True,111,0.1531531531531531,0.04289512558161525
C0025,Gustavo Eastwood,@GEastwood,R,House,AZ,AZ-04,False,28,0.1428571428571428,0.037603170004513777
C0026,Mordecai Underhill,@MordecaiUnderhill2022,D,House,AZ,AZ-05,False,99,0.3737373737373737,0.025124435759637066
C0027,Junia Meriwether,@JMeriwether,D,House,AZ,AZ-06,False,80,0.375,0.030516878075227502
C0028,Osric Sandoval,@OsricSandoval2022,R,House,AZ,AZ-06,True,94,0.2553191489361702,0.02300047015126428
C0029,Ximena Lockhart,@LockhartHQ,D,House,AZ,AZ-07,True,142,0.2676056338028169,0.019261785954125022
C0030,Yolanda Zablocki,@ZablockiHQ,R,House,AZ,AZ-07,False,122,0.2377049180327868,0.021223178268040304
C0031,Ivan Vasquez-Reed,@IVasquezReedOfficial,D,House,AZ,AZ-08,True,66,0.1818181818181818,0.032623411998160205
C0032,Ignatius Quimby,@QuimbyForCongress,D,House,AZ,AZ-09,False,62,0.4193548387096774,0.030991544414579093
C0033,Jordan Kettering,@JKetteringOfficial,R,House,AZ,AZ-09,False,106,0.0943396226415094,0.031227549674670618
C0034,Lavinia Villanueva,@LaviniaVillanueva2022,D,House,AR,AR-01,True,188,0.0531914893617021,0.02784276310654025
C0035,York Whitlock,@YorkWhitlock2022,R,House,AR,AR-01,False,77,0.1428571428571428,0.026609617210470102
C0036,Tobias Goodwin,@TGoodwin2022,D,House,AR,AR-02,False,249,0.1767068273092369,0.021090197786274825
C0037,York Jessup,@YJessup2022,R,House,AR,AR-02,False,53,0.1698113207547169,0.04014427403912068
C0038,Renata Solberg,@RSolberg2022,D,House,AR,AR-03,False,117,0.3504273504273504,0.02843510974258214
C0039,Quincy Villanueva,@VillanuevaHQ,R,House,AR,AR-03,True,55,0.3636363636363636,0.024097356137374223
C0040,Delphine Holloway,@DelphineHolloway2022,D,House,AR,AR-04,False,163,0.2331288343558282,0.024151428530485804
C0041,Simone Stanfield,@StanfieldHQ,R,House,AR,AR-04,True,69,0.0144927536231884,0.047944591124757775
C0042,Tamika Villanueva,@TVillanueva,D,House,CA,CA-01,True,46,0.3043478260869565,0.025918215587640743
C0043,Henrietta Solberg,@HSolberg,R,House,CA,CA-01,False,161,0.4472049689440994,0.028200226443676386
C0044,Henrietta Sandoval,@HenriettaSandoval2022,D,House,CA,CA-02,False,122,0.040983606557377,0.02821598070242079
C0045,Osric Abernathy,@OAbernathyOfficial,R,House,CA,CA-02,True,52,0.0769230769230769,0.029346428162359214
C0046,Quentin Prescott,@QuentinPrescott2022,R,House,CA,CA-03,False,284,0.2605633802816901,0.02157733796115937
C0047,Lucille Renwick,@LucilleRenwick2022,D,House,CA,CA-04,True,118,0.3305084745762712,0.02295844471821966
C0048,Harlan Falkner,@FalknerHQ,R,House,CA,CA-04,False,77,0.0519480519480519,0.03057060983303831
C0049,Maeve Lockhart,@MaeveLockhart2022,D,House,CA,CA-05,True,59,0.1186440677966101,0.03233901183011318
C0050,Opal Ivester,@IvesterHQ,R,House,CA,CA-05,False,254,0.2559055118110236,0.024022078675262827
C0051,Quincy Renwick,@RenwickHQ,D,House,CA,CA-06,False,103,0.3203883495145631,0.023784626435963192
C0052,Osric Kowalczyk,@OKowalczykOfficial,D,House,CA,CA-07,False,50,0.12,0.030915730264481224
C0053,Tallulah Zielinski,@TallulahZielinski2022,R,House,CA,CA-07,False,34,0.2352941176470588,0.033430626484505614
C0054,Ignatius Abernathy,@IAbernathy2022,D,House,CA,CA-08,False,164,0.2134146341463414,0.022157962169456934
C0055,Flora Palafox,@PalafoxHQ,R,House,CA,CA-08,True,155,0.5096774193548387,0.030857849323245052
C0056,Deshawn Calloway,@Calloway4Congress,D,House,CA,CA-09,False,95,0.431578947368421,0.034217676552876906
C0057,Cormac Ibarra,@IbarraForCongress,R,House,CA,CA-09,True,112,0.2142857142857142,0.02644904047408727
C0058,Tobias Ivester,@TIvesterOfficial,I,House,CA,CA-09,False,75,0.3066666666666666,0.027386589018395267
C0059,Russell Lockhart,@RussellLockhart2022,R,House,CA,CA-10,True,130,0.5846153846153846,0.0371340368052984
C0060,Rosalind Winterbourne,@WinterbourneHQ,D,House,CA,CA-11,False,84,0.2023809523809523,0.027335023309372774
C0061,Priya Meriwether,@PMeriwether,D,House,CA,CA-12,False,146,0.0753424657534246,0.031636789073167935
C0062,Renata Calloway,@CallowayHQ,R,House,CA,CA-12,True,246,0.532520325203252,0.029200513139364802
C0063,Tobias Underhill,@TUnderhill2022,D,House,CA,CA-13,False,138,0.1231884057971014,0.024312782089481073
C0064,Yolanda Solberg,@YSolberg2022,R,House,CA,CA-13,True,181,0.2596685082872928,0.021173827059279098
C0065,Tallulah Sandoval,@SandovalHQ,D,House,CA,CA-14,True,99,0.5151515151515151,0.036526908004122845
C0066,Pete Ibarra,@PeteIbarra2022,R,House,CA,CA-14,False,87,0.2528735632183908,0.02394768821218169
C0067,Maeve Barrows,@MaeveBarrows2022,D,House,CA,CA-15,True,63,0.1904761904761904,0.03097867250608846
C0068,Bettina Jessup,@BettinaJessup2022,R,House,CA,CA-15,False,125,0.096,0.029790507598952673
C0069,Rosalind Sandoval,@RosalindSandoval2022,D,House,CA,CA-16,False,119,0.1764705882352941,0.02871826536016624
C0070,York Sandoval,@YorkSandoval2022,R,House,CA,CA-16,True,84,0.119047619047619,0.029575872372457745
C0071,Lavinia Bickford,@LaviniaBickford2022,D,House,CA,CA-17,False,79,0.4050632911392405,0.02811627008054701
C0072,Pete Meriwether,@MeriwetherHQ,R,House,CA,CA-17,True,208,0.1586538461538461,0.020835717073652237
C0073,Ulysses Abernathy,@UlyssesAbernathy2022,D,House,CA,CA-18,True,104,0.173076923076923,0.03553614127293304
C0074,Vera Thackeray,@ThackerayHQ,R,House,CA,CA-18,False,92,0.2717391304347826,0.022662212832922874
C0075,Gustavo Bramble,@Bramble4Congress,D,House,CA,CA-19,False,109,0.128440366972477,0.03755785050736927
C0076,Flora Bramble,@BrambleForCongress,R,House,CA,CA-19,True,66,0.1515151515151515,0.030680594265596706
C0077,Deshawn Kowalczyk,@DeshawnKowalczyk2022,D,House,CA,CA-20,True,97,0.1030927835051546,0.029961513565853
C0078,Silas Barrows,@SBarrowsOfficial,R,House,CA,CA-20,False,107,0.0747663551401869,0.032442620526199055
C0079,Junia Jankowski,@JankowskiForCongress,D,House,CA,CA-21,False,76,0.5131578947368421,0.031198538627654458
C0080,Quentin Eastwood,@QuentinEastwood2022,R,House,CA,CA-21,False,54,0.3888888888888889,0.029604152677052818
C0081,Grant Delacroix,@GrantDelacroix2022,D,House,CA,CA-22,False,86,0.1395348837209302,0.03482859816814298
C0082,Cassidy Rutledge,@RutledgeHQ,R,House,CA,CA-22,True,34,0.4117647058823529,0.035790738998248244
C0083,Quincy Goodwin,@QGoodwin,D,House,CA,CA-23,True,62,0.4354838709677419,0.036247917333798375
C0084,Jocelyn Crowder,@JCrowder2022,R,House,CA,CA-23,False,100,0.3,0.022844836810309622
C0085,Tallulah Underhill,@TUnderhillOfficial,D,House,CA,CA-24,False,41,0.1219512195121951,0.03765048198938003
C0086,Boyd Alcott,@AlcottForCongress,R,House,CA,CA-24,True,75,0.2133333333333333,0.024691566650770068
C0087,Colton Alcott,@AlcottHQ,D,House,CA,CA-25,False,86,0.2325581395348837,0.022366763540417334
C0088,Hattie Underhill,@Underhill4Congress,R,House,CA,CA-25,False,43,0.0,0.06069844793738059
C0089,Lorenzo Quintanilla,@Quintanilla4Congress,D,House,CA,CA-26,False,79,0.050632911392405,0.039879263460581744
C0090,Marcus Nakamura,@MarcusNakamura2022,R,House,CA,CA-26,False,157,0.1019108280254777,0.027094980745671893
C0091,Noemi Yarborough,@YarboroughHQ,D,House,CA,CA-27,True,98,0.1938775510204081,0.029423265289369314
C0092,Marisol Stanfield,@MStanfield,R,House,CA,CA-27,False,242,0.2892561983471074,0.018259269884725204
C0093,Lorenzo Nakamura,@NakamuraForCongress,D,House,CA,CA-28,False,112,0.375,0.023851121391693788
C0094,Tallulah Palafox,@TallulahPalafox2022,R,House,CA,CA-28,True,55,0.1272727272727272,0.034157621081913704
C0095,Tamika Vandermeer,@VandermeerForCongress,D,House,CA,CA-29,True,61,0.3934426229508196,0.023612749343838696
C0096,Paloma Wexford,@PWexford,R,House,CA,CA-29,False,209,0.3301435406698564,0.025068949607562483
C0097,Renata Marchetti,@MarchettiHQ,D,House,CA,CA-30,True,123,0.1463414634146341,0.031114406633192017
C0098,Noemi Vasquez-Reed,@NVasquezReed2022,R,House,CA,CA-30,False,67,0.4328358208955223,0.028076608744639055
C0099,Russell Xiong,@RussellXiong2022,D,House,CA,CA-31,True,51,0.2352941176470588,0.025194821317470435
C0100,Celeste Crowder,@CCrowderOfficial,R,House,CA,CA-31,False,120,0.1916666666666666,0.03085642894587106
C0101,Maeve Tunstall,@TunstallHQ,D,House,CA,CA-32,True,18,0.0,0.05969892544205956
C0102,Anders Okafor,@OkaforHQ,D,House,CA,CA-33,True,124,0.5161290322580645,0.02937535703205909
C0103,Nadia Quintanilla,@QuintanillaHQ,R,House,CA,CA-33,False,99,0.4444444444444444,0.02824020584904421
C0104,Grant Vandermeer,@GVandermeer2022,D,House,CA,CA-34,False,96,0.34375,0.02417168345674654
C0105,Farrah Stanfield,@StanfieldForCongress,D,House,CA,CA-35,False,88,0.1931818181818181,0.03201443999288026
C0106,Kendall Zablocki,@KZablockiOfficial,R,House,CA,CA-35,True,101,0.3762376237623762,0.026210321033101763
C0107,Omar Pemberton,@PembertonForCongress,D,House,CA,CA-36,True,66,0.2878787878787879,0.026935123615345603
C0108,Colton Lockhart,@LockhartForCongress,D,House,CA,CA-37,False,77,0.1298701298701298,0.030601825691541403
C0109,Harlan Rutledge,@HRutledge,R,House,CA,CA-37,True,115,0.4434782608695652,0.030347600712556374
C0110,Maeve Sandoval,@MaeveSandoval2022,D,House,CA,CA-38,False,70,0.2857142857142857,0.02216785732077791
C0111,Tobias Rutledge,@RutledgeForCongress,D,House,CA,CA-39,False,68,0.3088235294117647,0.02880890411676603
C0112,Ingrid Lockhart,@ILockhart2022,R,House,CA,CA-39,True,150,0.16,0.02677307965685216
C0113,Kip Holloway,@KHollowayOfficial,D,House,CA,CA-40,False,44,0.1590909090909091,0.039060302590390575
C0114,Dexter Fairbanks,@FairbanksForCongress,R,House,CA,CA-40,False,93,0.3870967741935484,0.02527120199727046
C0115,Zelda Marchetti,@ZMarchetti,D,House,CA,CA-41,True,131,0.3511450381679389,0.020915130859477552
C0116,Walker Palafox,@PalafoxForCongress,R,House,CA,CA-41,False,84,0.0952380952380952,0.02960245126647307
C0117,York Delacroix,@DelacroixForCongress,D,House,CA,CA-42,True,219,0.5342465753424658,0.03043311582384213
C0118,Kendall Barrows,@KBarrows,R,House,CA,CA-42,False,108,0.5092592592592593,0.028678730612917744
C0119,Kip Thackeray,@Thackeray4Congress,D,House,CA,CA-43,False,61,0.4098360655737705,0.028802223983163813
C0120,Russell Yarborough,@RussellYarborough2022,R,House,CA,CA-43,True,175,0.28,0.022413759856607113
C0121,Walker Quimby,@QuimbyHQ,D,House,CA,CA-44,True,38,0.3684210526315789,0.028647266402985646
C0122,Sterling Okafor,@SterlingOkafor2022,R,House,CA,CA-44,False,78,0.3717948717948718,0.022904197836329885
C0123,Opal Granger,@GrangerHQ,D,House,CA,CA-45,False,101,0.0396039603960396,0.03824051472940063
C0124,Cormac Lindqvist,@LindqvistHQ,R,House,CA,CA-45,False,78,0.2564102564102564,0.02630336085958639
C0125,Marcus Whitlock,@MarcusWhitlock2022,D,House,CA,CA-46,False,53,0.0943396226415094,0.04454560505460469
C0126,Quentin Stanfield,@QStanfield,R,House,CA,CA-46,False,234,0.2606837606837607,0.023273632557302804
C0127,Nolan Umbridge,@UmbridgeForCongress,D,House,CA,CA-47,False,80,0.1875,0.030084362068777487
C0128,Vera Bramble,@VBramble,R,House,CA,CA-47,True,77,0.0649350649350649,0.028345826784049698
C0129,Cormac Quintanilla,@CormacQuintanilla2022,R,House,CA,CA-48,False,46,0.4130434782608695,0.03575855605130183
C0130,Petra Bramble,@PetraBramble2022,R,House,CA,CA-49,True,115,0.5826086956521739,0.040330706260882566
C0131,Opal Okafor,@OOkafor,D,House,CA,CA-50,True,83,0.1325301204819277,0.028249688930690776
C0132,Flora Xiong,@XiongHQ,R,House,CA,CA-50,False,71,0.2676056338028169,0.02094338403425951
C0133,Tallulah Granger,@TGranger2022,D,House,CA,CA-51,False,100,0.18,0.0397142864032997
C0134,Cassidy Renwick,@CRenwick,R,House,CA,CA-51,True,91,0.3076923076923077,0.021936682297801713
C0135,Ivan Kowalczyk,@IvanKowalczyk2022,D,House,CA,CA-52,False,52,0.1923076923076923,0.027693480878526647
C0136,Lucille Rutledge,@LRutledge,R,House,CA,CA-52,True,101,0.3465346534653465,0.026002776082795942
C0137,Opal Barrows,@OpalBarrows2022,R,House,CO,CO-01,False,67,0.1641791044776119,0.023123115360805198
C0138,Noemi Lockhart,@NLockhart,I,House,CO,CO-01,False,40,0.15,0.038072663867328486
C0139,Ivan Delacroix,@DelacroixHQ,D,House,CO,CO-02,False,98,0.2857142857142857,0.02658178798405908
C0140,Colton Crowder,@Crowder4Congress,R,House,CO,CO-02,True,166,0.253012048192771,0.023108450414701154
C0141,Nadia Solberg,@SolbergForCongress,D,House,CO,CO-03,False,124,0.2983870967741935,0.0228443669204789
C0142,Paloma Lockhart,@PalomaLockhart2022,R,House,CO,CO-03,True,105,0.6,0.03882267134637594
C0143,Grant Umbridge,@GUmbridgeOfficial,D,House,CO,CO-04,False,102,0.3039215686274509,0.022318460071158924
C0144,Celeste Yancey,@CelesteYancey2022,R,House,CO,CO-04,True,51,0.4901960784313725,0.028098831339465655
C0145,Ignatius Oglesby,@OglesbyHQ,D,House,CO,CO-05,False,128,0.03125,0.026650596878298516
C0146,Quentin Zielinski,@ZielinskiForCongress,R,House,CO,CO-05,False,76,0.131578947368421,0.031129952270726707
C0147,Russell Stanfield,@RStanfield2022,D,House,CO,CO-06,False,51,0.3725490196078431,0.02329423174327339
C0148,Ingrid Meriwether,@IngridMeriwether2022,R,House,CO,CO-06,False,84,0.1666666666666666,0.027493825385525788
C0149,Jordan Bickford,@JBickford2022,I,House,CO,CO-06,False,71,0.0704225352112676,0.032836331502953314
C0150,Yolanda Thackeray,@ThackerayForCongress,D,House,CO,CO-07,True,59,0.1186440677966101,0.033878319927449885
C0151,Lorenzo Renwick,@Renwick4Congress,R,House,CO,CO-07,False,109,0.055045871559633,0.03175178314417111
C0152,Flora Pemberton,@FloraPemberton2022,D,House,CO,CO-08,False,138,0.3768115942028985,0.021199392973108806
C0153,Lorenzo Umbridge,@Umbridge4Congress,R,House,CO,CO-08,True,144,0.125,0.021979262883454025
C0154,Marisol Barrows,@MBarrows2022,D,House,CT,CT-01,True,131,0.4809160305343511,0.030123944374009143
C0155,Cormac Ivester,@CIvesterOfficial,R,House,CT,CT-01,False,75,0.2133333333333333,0.027526609899271335
C0156,Lavinia Lockhart,@LaviniaLockhart2022,D,House,CT,CT-02,True,137,0.2408759124087591,0.022131396955172956
C0157,Bettina Yarborough,@BYarborough2022,R,House,CT,CT-02,False,162,0.1604938271604938,0.020549338879123292
C0158,Gideon Granger,@GrangerForCongress,D,House,CT,CT-03,False,86,0.1627906976744186,0.028496836106740385
C0159,Ximena Jessup,@Jessup4Congress,R,House,CT,CT-03,True,139,0.1942446043165467,0.022451724205195592
C0160,Gideon Jessup,@JessupHQ,D,House,CT,CT-04,True,79,0.4683544303797468,0.03140485672559103
C0161,Uriel Quimby,@UQuimby,R,House,CT,CT-04,False,87,0.1379310344827586,0.028118059457267842
