candidate_id,candidate_name,handle,party,chamber,state,district,incumbent,n_tweets,share_retweets
C0001,Sterling Kowalczyk,@KowalczykHQ,D,House,AL,AL-01,False,35,0.22857142857142856
C0002,Ingrid Lindqvist,@ILindqvist2022,R,House,AL,AL-01,True,201,0.4079601990049751
C0003,Gideon Wexford,@GideonWexford2022,D,House,AL,AL-02,False,133,0.16541353383458646
C0004,Colton Solberg,@SolbergHQ,R,House,AL,AL-02,False,118,0.4830508474576271
C0005,Jocelyn Lockhart,@JLockhartOfficial,D,House,AL,AL-03,True,107,0.37383177570093457
C0006,Jordan Umbridge,@UmbridgeHQ,R,House,AL,AL-03,False,81,0.18518518518518517
C0007,Maeve Ibarra,@IbarraHQ,D,House,AL,AL-04,True,85,0.5411764705882353
C0008,Vivienne Whitlock,@VWhitlockOfficial,R,House,AL,AL-04,False,74,0.2702702702702703
C0009,Jocelyn Whitlock,@JocelynWhitlock2022,D,House,AL,AL-05,True,91,0.16483516483516483
C0010,Junia Yancey,@YanceyHQ,R,House,AL,AL-05,False,64,0.296875
C0011,Dexter Crowder,@CrowderForCongress,D,House,AL,AL-06,True,201,0.29850746268656714
C0012,Grant Crowder,@CrowderHQ,R,House,AL,AL-06,False,103,0.5242718446601942
C0013,Junia Sandoval,@SandovalForCongress,D,House,AL,AL-07,True,53,0.24528301886792453
C0014,Colton Dunmore,@ColtonDunmore2022,R,House,AL,AL-07,False,145,0.22758620689655173
C0015,Elena Kettering,@KetteringHQ,D,House,AK,AK-AL,True,184,0.5434782608695652
C0016,Lorenzo Falkner,@Falkner4Congress,R,House,AK,AK-AL,False,47,0.425531914893617
C0017,Kip Kowalczyk,@KipKowalczyk2022,D,House,AZ,AZ-01,True,210,0.5523809523809524
C0018,Tamika Eastwood,@TEastwoodOfficial,R,House,AZ,AZ-01,False,32,0.25
C0019,Grant Nakamura,@NakamuraHQ,D,House,AZ,AZ-02,True,43,0.4186046511627907
C0020,Omar Lindqvist,@OLindqvistOfficial,R,House,AZ,AZ-02,False,169,0.2958579881656805
C0021,Petra Ivester,@Ivester4Congress,I,House,AZ,AZ-02,False,185,0.42162162162162165
C0022,Emmett Barrows,@EBarrows,D,House,AZ,AZ-03,False,52,0.34615384615384615
C0023,Henrietta Prescott,@HenriettaPrescott2022,R,House,AZ,AZ-03,False,96,0.11458333333333333
C0024,Ulysses Tunstall,@TunstallForCongress,D,House,AZ,AZ-04,True,111,0.15315315315315314
C0025,Gustavo Eastwood,@GEastwood,R,House,AZ,AZ-04,False,28,0.14285714285714285
C0026,Mordecai Underhill,@MordecaiUnderhill2022,D,House,AZ,AZ-05,False,99,0.37373737373737376
C0027,Junia Meriwether,@JMeriwether,D,House,AZ,AZ-06,False,80,0.375
C0028,Osric Sandoval,@OsricSandoval2022,R,House,AZ,AZ-06,True,94,0.2553191489361702
C0029,Ximena Lockhart,@LockhartHQ,D,House,AZ,AZ-07,True,142,0.2676056338028169
C0030,Yolanda Zablocki,@ZablockiHQ,R,House,AZ,AZ-07,False,122,0.23770491803278687
C0031,Ivan Vasquez-Reed,@IVasquezReedOfficial,D,House,AZ,AZ-08,True,66,0.18181818181818182
C0032,Ignatius Quimby,@QuimbyForCongress,D,House,AZ,AZ-09,False,62,0.41935483870967744
C0033,Jordan Kettering,@JKetteringOfficial,R,House,AZ,AZ-09,False,106,0.09433962264150944
C0034,Lavinia Villanueva,@LaviniaVillanueva2022,D,House,AR,AR-01,True,188,0.05319148936170213
C0035,York Whitlock,@YorkWhitlock2022,R,House,AR,AR-01,False,77,0.14285714285714285
C0036,Tobias Goodwin,@TGoodwin2022,D,House,AR,AR-02,False,249,0.17670682730923695
C0037,York Jessup,@YJessup2022,R,House,AR,AR-02,False,53,0.16981132075471697
