candidate_id,tier,space,axis_pc,blind_axis_score
C0001,A,centered,2,-0.05101496497493116
C0002,A,centered,2,0.09858020427514623
C0003,A,centered,2,-0.04793451231927632
C0004,A,centered,2,0.09608850410431247
C0005,A,centered,2,-0.05599362798182301
C0006,A,centered,2,0.04447471749011279
C0007,A,centered,2,-0.0905213680090359
C0008,A,centered,2,0.06199921821525364
C0009,A,centered,2,-0.04883694670029858
C0010,A,centered,2,0.06870747961437748
C0011,A,centered,2,-0.09245176200440852
C0012,A,centered,2,0.10343372918821866
C0013,A,centered,2,-0.06693733545388315
C0014,A,centered,2,0.022824163570235773
C0015,A,centered,2,-0.07894871184379829
C0016,A,centered,2,0.1373033225527975
C0017,A,centered,2,-0.11088972077282899
C0018,A,centered,2,0.09487035340258358
C0019,A,centered,2,-0.06048654613971295
C0020,A,centered,2,0.07085852698318057
C0021,A,centered,2,0.045643631749205396
C0022,A,centered,2,-0.06062283588427526
C0023,A,centered,2,0.04902593877950526
C0024,A,centered,2,-0.11116979711733763
C0025,A,centered,2,-0.01200534889340663
C0026,A,centered,2,-0.02206705389711448
C0027,A,centered,2,-0.060999477049425814
C0028,A,centered,2,0.061862523194505796
C0029,A,centered,2,-0.03429254590331354
C0030,A,centered,2,0.053396437994502444
C0031,A,centered,2,-0.09866797759375998
C0032,A,centered,2,-0.06585035053741507
C0033,A,centered,2,0.030805156044455898
C0034,A,centered,2,-0.012761195263110934
C0035,A,centered,2,0.04834109324185014
C0036,A,centered,2,-0.05499425968528355
C0037,A,centered,2,0.04986157621759667
C0038,A,centered,2,-0.06539229847679089
C0039,A,centered,2,0.06970522476682671
C0040,A,centered,2,-0.09793955778729481
C0041,A,centered,2,0.019258454681630642
C0042,A,centered,2,-0.0704936901375051
C0043,A,centered,2,0.09079215255653056
C0044,A,centered,2,-0.08950532653382393
C0045,A,centered,2,0.00344399389333166
C0046,A,centered,2,0.058460383576175674
C0047,A,centered,2,-0.07659905848557316
C0048,A,centered,2,0.04000969166545965
C0049,A,centered,2,-0.016924792081232737
C0050,A,centered,2,0.06362684755014761
C0051,A,centered,2,-0.01327955910867887
C0052,A,centered,2,0.021813564976034518
C0053,A,centered,2,0.021078961008573618
C0054,A,centered,2,-0.06626660780039054
C0055,A,centered,2,0.11762621553790198
C0056,A,centered,2,-0.08752583290983615
