tier,variant,rep,within,between,ratio
A,raw,centroid_cosine,0.14807437360286713,0.18195348978042603,1.2287979705956555
A,centered,centroid_cosine,0.892062783241272,1.1089327335357666,1.243110635673542
A,whitened,centroid_cosine,0.9581907391548157,1.0386072397232056,1.0839253577417396
A,corrected,centroid_cosine,0.8693921566009521,1.1313974857330322,1.3013661063569264
A,centered,energy,0.039360336832232015,0.05370416146110931,1.3644233201056144
A,centered,mmd,0.11866278799742817,0.14065304024107497,1.1853171715814008
A,corrected,energy,0.03154898291308638,0.04594244486453426,1.4562258628463594
A,corrected,mmd,0.10669676056970004,0.13165131018359388,1.233882917163096
B,raw,centroid_cosine,0.13444682955741882,0.1628328561782837,1.2111319896074002
B,centered,centroid_cosine,0.9010196924209595,1.0998986959457397,1.2207265892162802
B,whitened,centroid_cosine,0.9672110080718994,1.031833529472351,1.0668132608718695
B,corrected,centroid_cosine,0.9240157604217529,1.0768989324569702,1.1654551562685858
B,centered,energy,0.04486822059931378,0.05941684620664844,1.3242523419249919
B,centered,mmd,0.12873145670104588,0.14931014451219438,1.159857492010974
B,corrected,energy,0.03936327836771973,0.05084651910484698,1.291724704173629
B,corrected,mmd,0.12192454032636667,0.1385005222331542,1.135952793936455
