tier,pc,share_retweets,log10_n_tweets,topic_entropy,dr_abscorr
A,1,-0.968154124284032,-0.004456952996457261,-0.43951786606864374,0.07288679583382446
A,2,-0.137388845705931,-0.034051361550406924,-0.6832238841917041,0.8759435780565411
A,3,-0.03744178068824461,-0.016406082655085898,0.08262213664423418,0.163763653406221
A,4,0.03732555186838648,0.06547397253686033,-0.02948489262940406,0.0827321451339092
A,5,0.03861789153996784,0.061728816960505625,0.0724493870171195,0.038189137171685664
A,6,-0.0005362574483174619,0.021245571114386304,0.12824364213175765,0.038070712705217676
A,7,-0.02564766414923894,-0.09124990103807117,0.12414652543583998,0.16111665014910242
A,8,0.05936338788140025,-0.011804563539808974,0.0935259364336025,0.012258454372932845
A,9,0.01849785487822361,0.036672356190864175,0.09022981966215075,0.01846672462417644
A,10,0.04211988384172662,-0.06350679814756835,-0.09765499426962808,0.022786242575944034
B,1,-0.8382321630922743,0.006666437212724955,-0.7456010437531949,0.44122581406665984
B,2,0.47962928901677077,-0.002704688303521482,-0.24638848344679823,0.7004395306975387
B,3,0.060954773509551086,0.0025442127134950444,-0.18295482857573242,0.10881470251623498
B,4,0.005645803256192637,0.012725485263710748,0.06162734437431487,0.12781183573387794
B,5,-0.0987305607041121,-0.094495404145214,-0.04978513339795257,0.08044018512286902
B,6,0.013529922485661268,0.03773687859128673,-0.02648045306516848,0.14065418558095355
B,7,0.008047759084547731,-5.790109251718591e-05,0.131665680842712,0.03945913854813794
B,8,-0.1111823401181256,0.04257863951207547,-0.0980288573075828,0.022843039682507907
B,9,-0.07983059604604058,-0.05622762406567919,-0.12253434401020066,0.11570212009358956
B,10,0.03189894371466327,0.067033201597876,0.07182887636690392,0.04454984556623046
