instrument,topic,r_score_vs_shareB
LLM ask-and-average,0,-0.2890147599942982
LLM ask-and-average,1,0.1751304316820845
LLM ask-and-average,2,0.18107560635249245
LLM ask-and-average,3,0.19788834241879194
LLM ask-and-average,4,0.3032679787959135
LLM ask-and-average,5,0.5011752596030306
LLM ask-and-average,6,-0.31318695749057984
LLM ask-and-average,8,-0.21319960833132012
LLM ask-and-average,9,-0.15937243431646966
LLM ask-and-average,12,0.002713215064622568
LLM ask-and-average,14,-0.1450952805222767
LLM ask-and-average,20,0.0022481612519977484
LLM ask-and-average,100,-0.04297452541157611
TF-IDF+SVD PC1,0,-0.30405356481945445
TF-IDF+SVD PC1,1,0.16992001350719876
TF-IDF+SVD PC1,2,0.14805454750844355
TF-IDF+SVD PC1,3,0.2153980869299599
TF-IDF+SVD PC1,4,0.36059692196953785
TF-IDF+SVD PC1,5,0.5003586338140618
TF-IDF+SVD PC1,6,-0.33599308814897993
TF-IDF+SVD PC1,8,-0.2600201117886425
TF-IDF+SVD PC1,9,-0.17059971680148187
TF-IDF+SVD PC1,12,-0.0071119397632404425
TF-IDF+SVD PC1,14,-0.16291841988075895
TF-IDF+SVD PC1,20,0.014262677596121272
TF-IDF+SVD PC1,100,-0.017588213108200128
WS1 Tier A Model2Vec,0,-0.3599732867073774
WS1 Tier A Model2Vec,1,0.14655592703514392
WS1 Tier A Model2Vec,2,0.2179067651674627
WS1 Tier A Model2Vec,3,0.30107761297829666
WS1 Tier A Model2Vec,4,0.41133603417331227
WS1 Tier A Model2Vec,5,0.4206316332080854
WS1 Tier A Model2Vec,6,-0.346493143668602
WS1 Tier A Model2Vec,8,-0.2794772289517831
WS1 Tier A Model2Vec,9,-0.14220566244363766
WS1 Tier A Model2Vec,12,-0.02123003893018787
WS1 Tier A Model2Vec,14,-0.038086936582378446
WS1 Tier A Model2Vec,20,-0.08881593235014833
WS1 Tier A Model2Vec,100,0.0013764740876386755
Oracle (true_ideology),0,-0.26832965979156964
Oracle (true_ideology),1,0.19671801767326758
Oracle (true_ideology),2,0.1373539804198813
Oracle (true_ideology),3,0.17848309134351906
Oracle (true_ideology),4,0.32264095320821623
Oracle (true_ideology),5,0.4828464125471329
Oracle (true_ideology),6,-0.3138193239865603
Oracle (true_ideology),8,-0.25190926902556277
Oracle (true_ideology),9,-0.16401856655268426
Oracle (true_ideology),12,0.015101083270008092
Oracle (true_ideology),14,-0.12025504390511031
Oracle (true_ideology),20,0.0050873450629647975
Oracle (true_ideology),100,-0.03735770455093305
