candidate_id,cue_score,stripped12_score
C0004,0.65,0.575
C0005,-0.625,-0.6
C0006,0.625,0.6
C0010,0.625,0.665
C0011,-0.65,-0.45
C0017,-0.7,-0.585
C0040,-0.575,-0.6499999999999999
C0043,0.675,0.585
C0046,0.7,0.7
C0049,-0.49,-0.56
C0050,0.6,0.675
C0062,0.8,0.775
C0066,0.425,0.42500000000000004
C0068,0.675,0.74
C0072,0.575,0.675
C0075,-0.585,-0.55
C0085,-0.725,-0.79
C0088,0.585,0.675
C0089,-0.725,-0.625
C0093,-0.65,-0.565
C0101,-0.55,-0.525
C0104,-0.675,-0.6000000000000001
C0107,-0.1,-0.09999999999999999
C0111,-0.5,-0.5
C0134,0.7,0.665
C0142,0.675,0.665
C0144,0.45,0.475
C0146,0.32499999999999996,0.35
C0155,0.47500000000000003,0.275
C0170,-0.575,-0.575
C0174,-0.825,-0.775
C0184,-0.54,-0.5
C0192,-0.575,-0.525
C0193,0.725,0.7
C0196,-0.7250000000000001,-0.55
C0201,0.525,0.375
C0209,-0.55,-0.675
C0226,0.7749999999999999,0.75
C0228,0.475,0.51
C0237,-0.525,-0.5
C0242,-0.525,-0.5
C0244,-0.71,-0.575
C0250,-0.725,-0.65
C0256,-0.55,-0.475
C0258,0.525,0.4
C0263,-0.625,-0.525
C0264,0.74,0.69
C0265,-0.775,-0.7250000000000001
C0267,-0.575,-0.55
C0277,0.42500000000000004,0.45
C0293,0.8,0.85
C0294,-0.615,-0.625
C0299,0.375,0.375
C0305,0.825,0.725
C0321,-0.5,-0.575
C0324,0.65,0.6000000000000001
C0327,0.55,0.665
C0330,-0.6000000000000001,-0.665
C0333,-0.7,-0.55
C0338,0.775,0.775
C0340,0.75,0.6000000000000001
C0343,-0.725,-0.615
C0347,0.175,0.125
C0357,-0.32499999999999996,-0.175
C0366,0.4,0.45
C0371,0.08499999999999999,0.19999999999999998
C0376,-0.3,-0.22499999999999998
C0398,0.42500000000000004,0.45
C0399,-0.55,-0.55
C0412,-0.05,-0.05
C0416,-0.29000000000000004,-0.25
C0417,0.4,0.42500000000000004
C0419,0.485,0.475
C0420,-0.7,-0.65
C0423,0.8,0.7
C0428,-0.725,-0.7
C0442,0.6,0.575
C0445,-0.024999999999999994,0.024999999999999994
C0449,0.8,0.75
C0450,-0.65,-0.6
C0451,0.8500000000000001,0.775
C0456,-0.32499999999999996,-0.32499999999999996
C0474,0.5,0.5
C0481,-0.625,-0.65
C0485,-0.625,-0.525
C0489,-0.625,-0.625
C0496,0.55,0.475
C0501,-0.675,-0.475
C0504,-0.625,-0.6000000000000001
C0506,-0.7749999999999999,-0.7749999999999999
C0508,0.8500000000000001,0.8600000000000001
C0515,-0.75,-0.7
C0534,0.6,0.6
C0549,-0.475,-0.425
C0552,0.8,0.7749999999999999
C0567,-0.575,-0.525
C0580,0.6000000000000001,0.6499999999999999
C0586,0.45,0.45
C0587,-0.35,-0.3
C0590,0.41000000000000003,0.4
C0591,-0.7,-0.725
C0592,0.625,0.625
C0597,-0.05,0.025
C0610,-0.55,-0.45
C0613,0.42500000000000004,0.45
C0614,-0.75,-0.725
C0621,0.175,0.25
C0622,0.7,0.765
C0631,0.7,0.625
C0634,-0.725,-0.7
C0639,-0.32499999999999996,-0.275
C0641,0.575,0.55
C0654,0.05,-0.19
C0657,0.55,0.55
C0661,0.7250000000000001,0.74
C0662,-0.75,-0.675
C0684,0.365,0.32499999999999996
C0692,-0.32499999999999996,-0.2
C0695,0.625,0.55
C0710,-0.725,-0.585
C0711,0.65,0.625
C0727,0.45,0.4
C0736,0.8,0.8
C0739,0.45,0.4
C0742,-0.7,-0.55
C0747,-0.375,-0.22499999999999998
C0758,0.6000000000000001,0.585
C0765,0.675,0.65
C0776,0.675,0.675
C0781,-0.49,-0.475
C0788,0.475,0.525
C0798,0.25,0.32499999999999996
C0803,-0.6,-0.675
C0811,-0.525,-0.55
C0814,0.4,0.475
C0817,-0.4,-0.4
C0832,0.5,0.475
C0834,0.825,0.825
C0836,0.675,0.625
C0853,-0.6000000000000001,-0.7
C0867,-0.825,-0.775
C0870,0.56,0.575
C0872,0.475,0.49
C0875,0.575,0.55
C0876,-0.7,-0.525
C0881,0.55,0.575
C0882,-0.5,-0.525
C0885,0.35,0.32499999999999996
C0893,-0.575,-0.5900000000000001
C0908,0.685,0.675
