candidate_id,candidate_name,party,chamber,state,incumbent,n_tweets,share_retweets,true_ideology
C0001,Sterling Kowalczyk,D,House,AL,False,35,0.22857142857142856,-0.4242
C0002,Ingrid Lindqvist,R,House,AL,True,201,0.4079601990049751,0.5285
C0003,Gideon Wexford,D,House,AL,False,133,0.16541353383458646,-0.6691
C0004,Colton Solberg,R,House,AL,False,118,0.4830508474576271,0.7377
C0005,Jocelyn Lockhart,D,House,AL,True,107,0.37383177570093457,-0.9894
C0006,Jordan Umbridge,R,House,AL,False,81,0.18518518518518517,0.5295
C0007,Maeve Ibarra,D,House,AL,True,85,0.5411764705882353,-0.7373
C0008,Vivienne Whitlock,R,House,AL,False,74,0.2702702702702703,0.672
C0009,Jocelyn Whitlock,D,House,AL,True,91,0.16483516483516483,-0.5761
C0010,Junia Yancey,R,House,AL,False,64,0.296875,0.7616
C0011,Dexter Crowder,D,House,AL,True,201,0.29850746268656714,-0.7358
C0012,Grant Crowder,R,House,AL,False,103,0.5242718446601942,0.6946
C0013,Junia Sandoval,D,House,AL,True,53,0.24528301886792453,-0.6103
C0014,Colton Dunmore,R,House,AL,False,145,0.22758620689655173,0.6706
C0015,Elena Kettering,D,House,AK,True,184,0.5434782608695652,-0.4017
C0016,Lorenzo Falkner,R,House,AK,False,47,0.425531914893617,0.9578
C0017,Kip Kowalczyk,D,House,AZ,True,210,0.5523809523809524,-0.766
C0018,Tamika Eastwood,R,House,AZ,False,32,0.25,0.847
C0019,Grant Nakamura,D,House,AZ,True,43,0.4186046511627907,-0.4967
C0020,Omar Lindqvist,R,House,AZ,False,169,0.2958579881656805,0.5562
C0021,Petra Ivester,I,House,AZ,False,185,0.42162162162162165,0.3213
C0022,Emmett Barrows,D,House,AZ,False,52,0.34615384615384615,-1.0
C0023,Henrietta Prescott,R,House,AZ,False,96,0.11458333333333333,0.6673
C0024,Ulysses Tunstall,D,House,AZ,True,111,0.15315315315315314,-0.66
C0025,Gustavo Eastwood,R,House,AZ,False,28,0.14285714285714285,0.5532
C0026,Mordecai Underhill,D,House,AZ,False,99,0.37373737373737376,-0.4518
C0027,Junia Meriwether,D,House,AZ,False,80,0.375,-0.962
C0028,Osric Sandoval,R,House,AZ,True,94,0.2553191489361702,0.5627
C0029,Ximena Lockhart,D,House,AZ,True,142,0.2676056338028169,-0.2919
C0030,Yolanda Zablocki,R,House,AZ,False,122,0.23770491803278687,0.7014
C0031,Ivan Vasquez-Reed,D,House,AZ,True,66,0.18181818181818182,-0.6998
C0032,Ignatius Quimby,D,House,AZ,False,62,0.41935483870967744,-0.4199
C0033,Jordan Kettering,R,House,AZ,False,106,0.09433962264150944,0.5039
C0034,Lavinia Villanueva,D,House,AR,True,188,0.05319148936170213,-0.857
C0035,York Whitlock,R,House,AR,False,77,0.14285714285714285,0.7136
C0036,Tobias Goodwin,D,House,AR,False,249,0.17670682730923695,-0.563
