model,pc,evr,r_true_ideology,r_share_retweets,r_log_n_tweets
w2v,1,0.23435311955631394,0.17496300743203386,0.9596004509781496,-0.005451494495230451
w2v,2,0.14226391001414723,0.885382342340992,-0.1337237318492885,0.031835799593208015
w2v,3,0.05625326326491239,-0.011036451245445392,-0.016427430291384992,0.08826832892518852
w2v,4,0.04925520974242359,-0.0726267643142423,-0.09368141791885033,-0.04709999585250414
w2v,5,0.0474187180338547,0.1201945624260116,0.01321567576159429,0.05870750510243432
w2v,6,0.044334533014221605,-0.054055434749993095,0.1200665779523904,0.03871031429727188
w2v,7,0.03553878962841182,-0.0010391084206073963,0.005570664153634835,-0.02019616644745905
w2v,8,0.03080149346322041,-0.0616077463945603,0.017852032901008508,0.03379717017438766
w2v,9,0.029789615750591445,-0.07838804495534983,-0.004110722362085255,0.030654674792509874
w2v,10,0.026692755624718807,-0.04985979169060662,0.04103623115708916,-0.015692405893301117
glove,1,0.2969937732499205,-0.2010619663490675,-0.8974465433438754,-0.0029580220786987574
glove,2,0.1845111683014549,0.4970268753364158,-0.2061476351028188,-0.01945624932732699
glove,3,0.13085152074974704,0.2063915615149095,0.040117998940699076,-0.04460640514586475
glove,4,0.08175771000027787,0.4193494838948834,-0.0816023277439598,0.03698981563080574
glove,5,0.05447325957889581,-0.28503529813282086,-0.04204592980719683,-0.038053783196759484
glove,6,0.050905714974758744,0.3561993856677979,0.023365226844654113,0.0014173461860187617
glove,7,0.0339402839182447,0.12229582368377534,0.005162836530633472,0.002973186195663574
glove,8,0.023301738096193857,-0.09949786047693289,-0.031882196544042424,0.010294110534471731
glove,9,0.019736243623041032,-0.06093975786340357,-0.0009471755162560903,-0.04917238494038578
glove,10,0.016962803282663457,0.06088171988292143,0.13224934852802736,0.061170944173973084
fasttext,1,0.24359908987772935,-0.20075495809246446,-0.9516708536366205,0.008885811950432056
fasttext,2,0.13993927691093277,0.8796684998650777,-0.15238714204271211,0.03478337358890369
fasttext,3,0.06351709243007063,0.025848965810620086,0.03521506265953839,-0.08307568588350664
fasttext,4,0.05238051082103363,0.09149407463169891,0.07713942252870341,0.07374308177397716
fasttext,5,0.05139171559212058,0.040811733276926644,0.03282771628531532,0.031387904989299754
fasttext,6,0.044670018450074706,0.06155582600247309,-0.1321354173495814,-0.00941526335140493
fasttext,7,0.03848868139138078,0.0005289292279919786,-0.03908037491922502,-0.04238987344742807
fasttext,8,0.034717781516583106,0.0006040503876417548,0.005315838964501736,-0.005528108113797741
fasttext,9,0.030271545099219695,-0.09072345289042248,-0.015140503480414323,0.03499613881534643
fasttext,10,0.026391998290757925,-0.09028130399733604,-0.007939763150142866,0.07445137163566347
doc2vec,1,0.05096294358372688,-0.9683132755016957,-0.0016791862411057088,-0.02522631916426015
doc2vec,2,0.030418600887060165,0.048818663489522504,0.9397569567063564,-0.047744350597001155
doc2vec,3,0.023849787190556526,-0.009805471931846142,-0.010647101036328847,0.03557113714573368
doc2vec,4,0.02218647487461567,0.06946780790355969,0.037628964557814434,0.08202774803873229
doc2vec,5,0.020507916808128357,0.02419738583412769,0.042788764505415924,-0.07119057846752702
doc2vec,6,0.020300181582570076,0.016028060951655702,0.10150798734220946,0.11195460915436026
doc2vec,7,0.01995191164314747,0.0071036176757542585,0.013267431209653116,0.034947185085250874
doc2vec,8,0.019025027751922607,0.03301839103649756,0.01906652166322462,0.0286301425641666
doc2vec,9,0.018948351964354515,-0.0016663929222813804,0.05383689392931537,-0.03480153409188356
doc2vec,10,0.018266215920448303,-0.0014791054783838099,-0.024215523388764648,0.07080546625579641
tfidf,1,0.15476396100173548,0.9737576091221298,0.06870975659726972,0.022154903636857046
tfidf,2,0.044618863866476725,-0.018644539020412926,0.9542393793779144,-0.16919748600448958
tfidf,3,0.027485690966764193,0.02417392401525844,0.0380488338983989,0.10428848795116391
tfidf,4,0.026701222238631694,-0.038820873985973406,-0.09054820277410737,-0.11485823111976824
tfidf,5,0.024381493524819588,-0.0017868296627031306,-0.0218279732436266,-0.10063081213912808
tfidf,6,0.023790416113883214,0.028353590496812336,0.12375833116868505,0.282667802684321
tfidf,7,0.02322778807634836,-0.016328892887181593,0.06434186593482354,-0.01319045153270912
tfidf,8,0.022348759700518413,0.024462293777194177,-0.007786280035217439,-0.14739692397617227
tfidf,9,0.021161692259722375,0.0031848804242899254,0.02643209856746164,0.29230196790079643
tfidf,10,0.020500305974815464,-0.0009763138221066029,-0.01922233069422699,-0.008170648352985184
